Date,Day,Previous day Close,Gap Points,Nifty Open,Nifty Spot at 9.45 AM,Trigger High (+0.3%),Trigger Low (-0.3%),IV Percentile at 9.45 AM,Trade Signal,Buy Strike,Sell Strike,Buy Strike Entry Premium,Sell Strike Entry Premium,Buy Strike Exit Premium,Sell Strike Exit Premium,Debit Paid,Exit Price,Qty,PnL,Result,Balance,Drawdown,Streak,Remarks,TF_Monthly_Zone,TF_Near_Daily_SR,TF_Hourly_Trend,TF_Trade_Allowed,No_Trade_Reason
13-Jan-26,Tuesday,25806.0,92.0,25898.0,25732.0,25976.0,25820.0,47.0,BUY PUT SPREAD,25650.0,25550.0,,,,,33.45,42.8,65.0,607.75,WIN,29313.25,-686.75,0.0,[WIN] Rule voilation. Did not close trade after SL or nor at 2:00 PM. Closed trade based on charts & intution,,,,,
14-Jan-26,Wednesday,25714.0,61.0,25653.0,25704.0,25730.0,25576.0,32.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,29313.25,-686.75,0.0,[DISCIPLINE] No trade signal,,,,,
16-Jan-26,Friday,25669.0,49.0,25718.0,25725.0,25795.0,25641.0,30.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,29313.25,-686.75,0.0,[DISCIPLINE] No trade signal,,,,,
19-Jan-26,Monday,25699.0,46.0,25653.0,25564.0,25730.0,25576.0,41.0,BUY PUT SPREAD,25450.0,25350.0,98.3,68.7,76.3,53.3,29.6,23.0,65.0,-429.0,LOSS,28884.25,-1115.75,1.0,[PROCESS WIN] Executed correctly. Made Loss. Trade closed at 2.00 PM,,,,,
20-Jan-26,Tuesday,25555.0,30.0,25585.0,25468.0,25662.0,25508.0,45.0,BUY PUT SPREAD,25350.0,25250.0,97.05,69.55,121.7,85.7,27.5,36.0,65.0,552.5,WIN,29436.75,-563.25,0.0,[PROCESS WIN] Executed correctly. Made profit. Trade closed at 2.00 PM,,,,,
21-Jan-26,Wednesday,25225.0,80.0,25145.0,25199.0,25220.0,25070.0,51.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
22-Jan-26,Thursday,25168.0,184.0,25352.0,25395.0,25428.0,25276.0,61.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
23-Jan-26,Friday,25320.0,27.0,25347.0,25287.0,25423.0,25271.0,44.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
27-Jan-26,Tuesday,25064.0,21.0,25085.0,25149.0,25160.0,25010.0,94.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
28-Jan-26,Wednesday,25234.0,13.0,25247.0,25293.0,25323.0,25171.0,90.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
29-Jan-26,Thursday,25348.0,6.0,25354.0,25209.0,25430.0,25278.0,90.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
30-Jan-26,Friday,25422.0,151.0,25271.0,25292.0,25347.0,25195.0,92.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
02-Feb-26,Monday,24768.0,45.0,24813.0,24867.0,24887.0,24739.0,91.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
03-Feb-26,Tuesday,25081.0,1227.0,26308.0,25726.0,26387.0,26229.0,100.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
04-Feb-26,Wednesday,25715.0,57.0,25658.0,25788.0,25735.0,25581.0,66.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,29436.75,-563.25,0.0,[DISCIPLINE] No trade signal,,,,,
05-Feb-26,Thursday,25737.0,13.0,25750.0,25635.0,25827.0,25673.0,57.0,BUY PUT SPREAD,25550.0,25450.0,101.05,69.7,95.85,64.05,31.35,31.8,65.0,29.25,WIN,29466.0,-534.0,0.0,[PROCESS WIN] Executed correctly. Made profit. But trade closed after 2.00 PM,,,,,
06-Feb-26,Friday,25642.0,21.0,25621.0,25527.0,25698.0,25544.0,46.0,BUY PUT SPREAD,25450.0,25350.0,69.2,42.0,36.45,25.05,27.2,11.4,65.0,-1027.0,LOSS,28439.0,-1561.0,1.0,"[PROCESS WIN] Entry executed corrcetly, but closed trade after 2.00 PM. Also, may be SL would have hit but could not monitor",,,,,
09-Feb-26,Monday,25674.0,233.0,25907.0,25793.0,25985.0,25829.0,47.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
10-Feb-26,Tuesday,25863.0,65.0,25928.0,25950.0,26006.0,25850.0,39.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
11-Feb-26,Wednesday,25917.0,79.0,25996.0,25938.0,26074.0,25918.0,28.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
12-Feb-26,Thursday,25945.0,54.0,25891.0,25845.0,25969.0,25813.0,23.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
13-Feb-26,Friday,25807.0,228.0,25579.0,25561.0,25656.0,25502.0,33.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
16-Feb-26,Monday,25461.0,21.0,25440.0,25460.0,25516.0,25364.0,59.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
23-Feb-26,Monday,25556.0,123.0,25679.0,25732.0,25756.0,25602.0,73.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
24-Feb-26,Tuesday,25704.0,85.0,25619.0,25500.0,25696.0,25542.0,79.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
25-Feb-26,Wednesday,25460.0,56.0,25516.0,25562.0,25593.0,25439.0,54.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
26-Feb-26,Thursday,25479.0,82.0,25561.0,25555.0,25638.0,25484.0,56.0,⚪ WAIT FOR TRIGGER,,,,,,,,,,0.0,NO TRADE,28439.0,-1561.0,0.0,[DISCIPLINE] No trade signal,,,,,
27-Feb-26,Friday,25493.0,22.0,25471.0,25363.0,25547.0,25395.0,58.0,BUY PUT SPREAD,25250.0,25150.0,69.95,43.55,56.65,34.55,26.4,22.1,65.0,-279.5,LOSS,28159.5,-1840.5,1.0,[PROCESS WIN] Executed correctly. Made loss due to resistance & support,,,,,
02-Mar-26,Monday,25181.0,440.0,24741.0,24964.0,24815.0,24667.0,99.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,28159.5,-1840.5,0.0,[DISCIPLINE] No trade signal,,,,,
04-Mar-26,Wednesday,24850.0,427.0,24423.0,24411.0,24496.0,24350.0,90.0,⛔ NO TRADE (WEDNESDAY BAN),,,,,,,,,,0.0,NO TRADE,28159.5,-1840.5,0.0,[DISCIPLINE] No trade signal,,,,,
05-Mar-26,Thursday,24474.0,154.0,24628.0,24596.0,24702.0,24554.0,94.0,⚠️ NO TRADE (GAP > 100),,,,,,,,,,0.0,NO TRADE,28159.5,-1840.5,0.0,[DISCIPLINE] No trade signal,,,,,
06-Mar-26,Friday,24737.0,36.0,24701.0,24678.0,24775.0,24627.0,95.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,28159.5,-1840.5,0.0,[DISCIPLINE] No trade signal,,,,,
09/Mar/2026,Monday,24469.0,-598.0,23871.0,23735.0,24542.0,24396.0,100.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,,,,,N,N,UP,NO,IV too high
10/Mar/2026,Tuesday,24008.0,279.0,24287.0,24153.0,24080.0,23936.0,99.0,⚠️ NO TRADE (IV TOO HIGH),,,,,,,,,,0.0,NO TRADE,,,,,N,N,SIDE,NO,IV too high
11/Mar/2026,Wednesday,24286.0,-23.0,24263.0,24189.0,24359.0,24213.0,93.0,NO TRADE (MONTHLY ZONE),,,,,,,,,,0.0,NO TRADE,,,,,Y,N,SIDE,NO,Near monthly level
